2025-10-27 00:32:02 | unimol_tools\weights\weighthub.py | 54 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights
2025-10-27 00:32:02 | unimol_tools\weights\weighthub.py | 71 | INFO | Uni-Mol Tools | Downloading mol_pre_all_h_220816.pt
2025-10-27 00:32:16 | unimol_tools\weights\weighthub.py | 54 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights
2025-10-27 00:32:16 | unimol_tools\weights\weighthub.py | 71 | INFO | Uni-Mol Tools | Downloading mol.dict.txt
2025-10-27 00:32:17 | unimol_tools\models\unimol.py | 167 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights\mol_pre_all_h_220816.pt
2025-10-27 00:32:25 | unimol_tools\models\unimol.py | 167 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\garga\Documents\Uni\DSAIT4305\dsait-4305-polymer-prediction\.venv\Lib\site-packages\unimol_tools\weights\mol_pre_all_h_220816.pt
2025-10-27 00:33:05 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
2025-10-27 00:33:05 | unimol_tools\data\conformer.py | 197 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-10-27 00:33:05 | unimol_tools\data\conformer.py | 214 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-10-27 00:33:06 | unimol_tools\tasks\trainer.py | 78 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-10-27 00:33:06 | unimol_tools\tasks\trainer.py | 98 | INFO | Uni-Mol Tools | Using single GPU.
2025-10-27 00:33:58 | unimol_tools\data\conformer.py | 182 | INFO | Uni-Mol Tools | Start generating conformers...
